Chain,Dex,Pool Type,pool_name,pool_id,tvlUsd,tvlUsd_pretty,share
Curve,DAI-USDC-USDT,Stable Pair,DAI-USDC-USDT,25171c4c-1877-449a-9f88-45a9f153ee31,182088963,182.09M,20
Curve,DAI-USDC-USDT,Stable Pair,USD0-USD0++,bc58a174-05f8-4e41-8f77-be9c13a614bf,79461688,79.46M,9
Curve,DAI-USDC-USDT,Stable Pair,FRAX-USDE,12ca9565-0369-404e-b209-631305e4012a,67947399,67.95M,7
Curve,DAI-USDC-USDT,Stable Pair,USDC-RLUSD,e91e23af-9099-45d9-8ba5-ea5b4638e453,54562565,54.56M,6
Curve,DAI-USDC-USDT,Stable Pair,SUSDS-USDT,6f74baf2-48f3-4e4a-ad67-5c056f37e4fa,50646630,50.65M,6
Curve,DAI-USDC-USDT,Stable Pair,CUSDO-USDC,08d1f13b-5d65-42c5-863d-fcb447dcea75,36027432,36.03M,4
Curve,DAI-USDC-USDT,Stable Pair,DOLA-USR,d78803f4-437f-4ce5-b199-1bae142a185d,31192778,31.19M,3
Curve,DAI-USDC-USDT,Stable Pair,SDAI-SUSDE,d22deafb-dbb1-417c-b555-cc8c9f4b955a,22188816,22.19M,2
Curve,DAI-USDC-USDT,Stable Pair,USDL-USDC,b92d0d7b-6113-4981-9fa7-fad4d20cad6b,20936300,20.94M,2
Curve,DAI-USDC-USDT,Stable Pair,USD0-USDC,23a68630-c706-4ed3-bb31-92868a15050b,20924338,20.92M,2
Curve,DAI-USDC-USDT,Stable Pair,USDC-USDTB,fa91389d-ab0f-43e5-8921-9c9a462d97d2,19983064,19.98M,2
Curve,DAI-USDC-USDT,Stable Pair,BOLD-USDC,755529b5-fcf4-4ef0-a7c7-e4f49376706f,18443598,18.44M,2
Curve,DAI-USDC-USDT,Stable Pair,DOLA-SUSDE,8a3a7995-73b3-4e25-8b5c-82a8841bf720,18425177,18.43M,2
Curve,DAI-USDC-USDT,Stable Pair,USDC-FXUSD,bcc046f9-d980-40d9-80b2-5d5ae5931131,18262163,18.26M,2
Curve,DAI-USDC-USDT,Stable Pair,DOLA-SUSDS,b36c0e1b-792f-4fee-8160-a0002c23e1d1,15886687,15.89M,2
Curve,DAI-USDC-USDT,Stable Pair,USDC-USDF,3388eabd-fc53-49bf-b358-d1a6dc3c6112,15701895,15.70M,2
Curve,DAI-USDC-USDT,Stable Pair,PYUSD-USDC,14681aee-05c9-4733-acd0-7b2c84616209,15084745,15.08M,2
Curve,DAI-USDC-USDT,Stable Pair,DAI-USDC-USDT-SUSD,985b3a44-495f-4250-bde3-7b2299036e3e,13586909,13.59M,1
Curve,DAI-USDC-USDT,Stable Pair,FRAX-SDAI,f0eead86-5acd-41a9-93c9-b01766d120e6,11591314,11.59M,1
Curve,DAI-USDC-USDT,Stable Pair,FRAX-USDC,3f6aa14f-eb0c-4738-bf74-8bc666f7d2b1,11341059,11.34M,1