date,Mint,Swap,Flash,Collect,Burn
2025-01-01 0:00,120,8418,0,124,124
2025-01-02 0:00,174,9366,0,154,160
2025-01-03 0:00,142,10836,0,166,170
2025-01-04 0:00,152,8418,0,150,150
2025-01-05 0:00,126,7904,0,150,150
2025-01-06 0:00,180,10100,0,194,204
2025-01-07 0:00,174,11362,0,176,178
2025-01-08 0:00,224,12570,0,238,248
2025-01-09 0:00,234,13852,0,250,252
2025-01-10 0:00,230,11240,0,248,248
2025-01-11 0:00,188,8348,0,196,200
2025-01-12 0:00,178,7944,0,160,166
2025-01-13 0:00,308,16506,0,362,374
2025-01-14 0:00,196,10068,0,202,206
2025-01-15 0:00,190,11010,0,214,218
2025-01-16 0:00,140,10806,0,120,122
2025-01-17 0:00,212,11176,0,200,206
2025-01-18 0:00,166,14584,0,172,172
2025-01-19 0:00,126,16284,0,170,174
2025-01-20 0:00,130,15822,0,138,146
2025-01-21 0:00,266,14888,0,196,204
2025-01-22 0:00,212,12278,0,180,184
2025-01-23 0:00,292,15286,0,228,236
2025-01-24 0:00,286,12684,0,266,268
2025-01-25 0:00,242,9248,0,234,244
2025-01-26 0:00,284,10310,0,262,268
2025-01-27 0:00,338,17488,0,362,364
2025-01-28 0:00,252,12414,0,258,262
2025-01-29 0:00,266,13304,0,262,266
2025-01-30 0:00,312,11940,0,308,310
2025-01-31 0:00,266,13936,0,282,286
2025-02-01 0:00,286,12600,0,306,306
2025-02-02 0:00,384,20620,0,420,418
2025-02-03 0:00,390,30012,0,488,496
2025-02-04 0:00,472,25060,0,484,488
2025-02-05 0:00,394,19102,0,420,426
2025-02-06 0:00,386,20066,0,424,426
2025-02-07 0:00,464,18998,0,428,428
2025-02-08 0:00,456,13190,0,486,492
2025-02-09 0:00,448,14082,0,484,492
2025-02-10 0:00,408,15486,0,420,426
2025-02-11 0:00,478,15922,0,434,438
2025-02-12 0:00,438,16296,0,400,404
2025-02-13 0:00,512,15552,0,462,468
2025-02-14 0:00,424,15304,0,394,402
2025-02-15 0:00,450,9894,0,388,390
2025-02-16 0:00,346,9272,0,362,366
2025-02-17 0:00,382,13262,0,356,360
2025-02-18 0:00,478,16342,0,488,492
2025-02-19 0:00,442,13202,0,482,484
2025-02-20 0:00,512,11678,0,544,550
2025-02-21 0:00,466,16570,0,518,524
2025-02-22 0:00,530,12722,0,506,508
2025-02-23 0:00,422,12508,0,448,460
2025-02-24 0:00,622,20314,0,660,668
2025-02-25 0:00,670,23264,0,886,896
2025-02-26 0:00,600,17908,2,700,706
2025-02-27 0:00,566,16942,0,626,632
2025-02-28 0:00,694,26396,0,772,782
2025-03-01 0:00,472,12960,0,516,520
2025-03-02 0:00,446,17406,0,558,568
2025-03-03 0:00,532,23004,0,552,558
2025-03-04 0:00,640,27074,0,624,628
2025-03-05 0:00,502,16604,0,500,500
2025-03-06 0:00,448,16026,2,508,512
2025-03-07 0:00,374,20200,0,394,398
2025-03-08 0:00,352,12922,0,372,372
2025-03-09 0:00,502,18504,0,566,568
2025-03-10 0:00,634,24376,0,680,682
2025-03-11 0:00,552,22780,0,548,548
2025-03-12 0:00,366,19106,0,368,378
2025-03-13 0:00,494,15216,0,540,550
2025-03-14 0:00,580,12954,0,580,586
2025-03-15 0:00,410,9404,4,404,408
2025-03-16 0:00,492,11202,2,508,512
2025-03-17 0:00,478,12198,6,520,526
2025-03-18 0:00,486,12502,0,504,510
2025-03-19 0:00,490,15328,2,494,496
2025-03-20 0:00,402,13260,0,440,444
2025-03-21 0:00,374,10592,0,394,402
2025-03-22 0:00,276,7360,0,298,304
2025-03-23 0:00,344,7966,0,374,378
2025-03-24 0:00,498,12722,4,582,584
2025-03-25 0:00,392,11322,0,444,458
2025-03-26 0:00,392,11484,0,396,400
2025-03-27 0:00,338,9778,0,346,348
2025-03-28 0:00,510,13728,0,564,582
2025-03-29 0:00,512,12582,0,552,556
2025-03-30 0:00,516,12092,0,570,578
2025-03-31 0:00,500,13604,4,554,562
2025-04-01 0:00,452,12490,84,512,512
2025-04-02 0:00,480,15424,24,504,512
2025-04-03 0:00,464,14810,64,462,476
2025-04-04 0:00,402,14434,26,416,424
2025-04-05 0:00,396,8560,6,418,440
2025-04-06 0:00,682,21602,8,732,734
2025-04-07 0:00,804,31276,0,940,954
2025-04-08 0:00,590,21130,6,668,680
2025-04-09 0:00,652,25816,2,750,760
2025-04-10 0:00,574,18410,0,602,608
2025-04-11 0:00,490,16214,2,490,496
2025-04-12 0:00,542,15610,2,568,580
2025-04-13 0:00,426,15324,2,436,442
2025-04-14 0:00,478,15806,0,538,550
2025-04-15 0:00,734,15820,0,736,744
2025-04-16 0:00,440,15338,4,498,508
2025-04-17 0:00,476,11634,4,552,566
2025-04-18 0:00,518,8288,0,572,572
2025-04-19 0:00,352,7310,0,398,400
2025-04-20 0:00,374,8306,0,416,420
2025-04-21 0:00,464,12598,0,488,494
2025-04-22 0:00,476,15150,2,562,566
2025-04-23 0:00,586,15302,0,688,694
2025-04-24 0:00,330,11738,0,366,368
2025-04-25 0:00,410,12886,2,430,430
2025-04-26 0:00,296,10104,2,350,366
2025-04-27 0:00,274,10306,0,316,324
2025-04-28 0:00,402,12576,0,466,468
2025-04-29 0:00,312,10972,4,392,400
2025-04-30 0:00,374,11664,2,398,404
2025-05-01 0:00,364,11082,0,428,434
2025-05-02 0:00,356,9364,0,418,422
2025-05-03 0:00,244,6606,0,274,276
2025-05-04 0:00,238,7850,0,268,272
2025-05-05 0:00,344,9570,2,356,356
2025-05-06 0:00,314,10610,2,342,342
2025-05-07 0:00,278,10664,0,324,328
2025-05-08 0:00,540,20960,2,738,742
2025-05-09 0:00,534,20638,0,692,698
2025-05-10 0:00,390,17182,6,482,484
2025-05-11 0:00,304,17522,2,400,416
2025-05-12 0:00,292,15818,0,366,384
2025-05-13 0:00,476,15040,12,578,584
2025-05-14 0:00,388,13942,2,430,432
2025-05-15 0:00,262,12804,0,290,294
2025-05-16 0:00,280,10668,0,302,302
2025-05-17 0:00,330,10526,0,376,376
2025-05-18 0:00,346,13440,0,412,432
2025-05-19 0:00,372,15006,0,388,402
2025-05-20 0:00,308,11930,0,306,324
2025-05-21 0:00,292,13878,0,302,328
2025-05-22 0:00,302,13942,0,342,376
2025-05-23 0:00,294,14250,0,348,362
2025-05-24 0:00,348,9340,0,330,330
2025-05-25 0:00,268,10154,0,302,302
2025-05-26 0:00,248,8808,0,288,288
2025-05-27 0:00,254,9822,0,260,268
2025-05-28 0:00,162,9832,0,230,240
2025-05-29 0:00,204,11158,0,278,278
2025-05-30 0:00,178,11888,0,208,210
2025-05-31 0:00,210,9300,0,256,260
2025-06-01 0:00,196,8632,0,230,232
2025-06-02 0:00,128,8770,0,158,162
2025-06-03 0:00,236,8988,0,266,280
2025-06-04 0:00,180,8874,0,206,226
2025-06-05 0:00,160,10334,0,212,222
2025-06-06 0:00,196,9582,4,202,206
2025-06-07 0:00,158,7146,2,182,188
2025-06-08 0:00,200,7874,0,202,204
2025-06-09 0:00,240,9488,0,270,278
2025-06-10 0:00,324,13854,0,368,408
2025-06-11 0:00,326,12502,0,374,406
2025-06-12 0:00,234,12990,0,246,248
2025-06-13 0:00,302,14504,4,294,302
2025-06-14 0:00,190,8682,10,226,230
2025-06-15 0:00,266,8826,0,290,298
2025-06-16 0:00,210,11186,0,256,258
2025-06-17 0:00,320,12844,2,340,350
2025-06-18 0:00,286,11330,0,318,324
2025-06-19 0:00,192,8966,2,222,228
2025-06-20 0:00,194,10964,0,246,246
2025-06-21 0:00,312,11990,72,358,364
2025-06-22 0:00,354,18118,0,428,432
2025-06-23 0:00,302,14252,0,312,312
2025-06-24 0:00,182,10582,0,226,230
2025-06-25 0:00,130,8252,0,144,146
2025-06-26 0:00,198,9754,0,216,228
2025-06-27 0:00,128,4720,0,108,108